Precinct,DallasCo_A,CONG_C2193,HOUSE_H231,SEN_S2168,SBOE_E2106,DallasCo_1,Shape_Leng,Shape_Area,Registered,Beckley Votes,Collier Votes,Total Votes,Collier Margin
3063,3,30,111,23,13,1,28483.2484,35250311.51,3810,178,138,501,-40
3089,3,30,108,23,13,5,6080.082044,1233221.801,97,0,2,2,2
3064,3,30,111,23,13,1,23554.57324,33883546.72,2466,198,157,546,-41
3065,3,30,111,23,13,1,16056.72215,14561107.08,2326,130,98,345,-32
3066,3,30,111,23,13,1,24574.14176,22873047.04,2066,108,77,295,-31
3922,3,30,109,16,9,1,5084.168248,1147841.798,90,4,2,8,-2
3067,3,30,111,23,13,1,46410.24812,68986368.26,2825,80,42,186,-38
3068,3,30,109,23,13,1,51912.65896,95557853.65,3873,216,150,564,-66
3069,3,30,110,23,13,1,28877.35185,23976824.3,1819,105,72,255,-33
3083,3,30,109,16,13,1,71345.38572,152905186.4,1323,35,21,80,-14
3070,3,30,110,23,13,1,25747.26632,22438285.93,3101,175,108,422,-67
3806,3,30,109,23,13,1,16834.62575,8596443.571,1060,71,55,188,-16
3071,3,30,110,23,13,1,31083.75358,58078176.12,2518,165,119,467,-46
3610,3,30,109,23,13,4,12746.87976,8349475.511,563,17,19,59,2
